"ly" Verbs		Length	|	Verbs	Length	|	Adjectives	Length	|	Nouns		Length	|	Superlatives	Length
						|   export	6       |   hated		5       |   line		4       |
						|   expire	6       |   heady		5       |   link		4       |
						|   expend	6       |   heavy		5       |   lips		4       |
						|   expect	6       |   hefty		5       |   list		4       |
						|   expand	6       |   homey		5       |   load		4       |
						|   exhort	6       |   house		5       |   loaf		4       |
						|   exhale	6       |   huffy		5       |   loan		4       |
						|   exempt	6       |   human		5       |   lock		4       |
						|   excuse	6       |   humid		5       |   long		4       |
						|   excite	6       |   husky		5       |   look		4       |
						|   excise	6       |   ideal		5       |   lord		4       |
						|   exceed	6       |   inane		5       |   loss		4       |
						|   evolve	6       |   inapt		5       |   love		4       |
						|   evince	6       |   inert		5       |   lows		4       |
						|   esteem	6       |   inner		5       |   luck		4       |
						|   escort	6       |   irate		5       |   maid		4       |
						|   eschew	6       |   itchy		5       |   mail		4       |
						|   escape	6       |   jaded		5       |   main		4       |
						|   equate	6       |   jazzy		5       |   make		4       |
						|   entice	6       |   jerky		5       |   male		4       |
						|   entail	6       |   joint		5       |   mall		4       |
						|   ensure	6       |   jolly		5       |   mane		4       |
						|   enroll	6       |   juicy		5       |   mans		4       |
						|   enrich	6       |   jumpy		5       |   many		4       |
						|   enrage	6       |   kaput		5       |   maps		4       |
						|   enmesh	6       |   known		5       |   mark		4       |
						|   enlist	6       |   lanky		5       |   mask		4       |
						|   engulf	6       |   large		5       |   mass		4       |
						|   engage	6       |   later		5       |   mate		4       |
						|   endure	6       |   least		5       |   math		4       |
						|   endear	6       |   legal		5       |   meal		4       |
						|   encode	6       |   level		5       |   meat		4       |
						|   encase	6       |   light		5       |   meet		4       |
						|   enable	6       |   lined		5       |   mens		4       |
						|   employ	6       |   lithe		5       |   menu		4       |
						|   emerge	6       |   livid		5       |   mess		4       |
						|   emboss	6       |   local		5       |   mice		4       |
						|   embody	6       |   lofty		5       |   milk		4       |
						|   embark	6       |   loose		5       |   mind		4       |
						|   elicit	6       |   lousy		5       |   mine		4       |
						|   elapse	6       |   lower		5       |   mint		4       |
						|   effect	6       |   lowly		5       |   miss		4       |
						|   efface	6       |   loyal		5       |   mist		4       |
						|   drench	6       |   lucid		5       |   mode		4       |
						|   dredge	6       |   lucky		5       |   moms		4       |
						|   double	6       |   lumpy		5       |   monk		4       |
						|   donate	6       |   lurid		5       |   mood		4       |
						|   divide	6       |   lying		5       |   moon		4       |
						|   divest	6       |   macho		5       |   most		4       |
						|   divert	6       |   magic		5       |   move		4       |
						|   dispel	6       |   major		5       |   mugs		4       |
						|   disown	6       |   mangy		5       |   nail		4       |
						|   dismay	6       |   manic		5       |   name		4       |
						|   disarm	6       |   many,		5       |   neat		4       |
						|   direct	6       |   meaty		5       |   neck		4       |
						|   dilute	6       |   merry		5       |   need		4       |
						|   dilate	6       |   messy		5       |   nest		4       |
						|   digest	6       |   milky		5       |   nets		4       |
						|   differ	6       |   minor		5       |   news		4       |
						|   devour	6       |   misty		5       |   newt		4       |
						|   devote	6       |   mixed		5       |   nine		4       |
						|   devise	6       |   moist		5       |   norm		4       |
						|   detest	6       |   moldy		5       |   nose		4       |
						|   detect	6       |   moody		5       |   note		4       |
						|   detain	6       |   moral		5       |   nuts		4       |
						|   detail	6       |   motor		5       |   odor		4       |
						|   detach	6       |   moved		5       |   oils		4       |
						|   desire	6       |   muddy		5       |   oven		4       |
						|   design	6       |   muggy		5       |   owls		4       |
						|   desert	6       |   murky		5       |   pace		4       |
						|   derive	6       |   mushy		5       |   pack		4       |
						|   deride	6       |   musky		5       |   page		4       |
						|   depose	6       |   musty		5       |   pail		4       |
						|   deport	6       |   muted		5       |   pain		4       |
						|   deploy	6       |   naive		5       |   pair		4       |
						|   depict	6       |   nasal		5       |   pane		4       |
						|   depend	6       |   nasty		5       |   pans		4       |
						|   depart	6       |   needy		5       |   park		4       |
						|   denote	6       |   nifty		5       |   part		4       |
						|   demote	6       |   ninth		5       |   pass		4       |
						|   demand	6       |   nippy		5       |   past		4       |
						|   delude	6       |   noble		5       |   path		4       |
						|   delete	6       |   noisy		5       |   peak		4       |
						|   defuse	6       |   north		5       |   pear		4       |
						|   defray	6       |   novel		5       |   pegs		4       |
						|   deform	6       |   nutty		5       |   pens		4       |
						|   define	6       |   obese		5       |   pest		4       |
						|   defend	6       |   older		5       |   pets		4       |
						|   defect	6       |   other		5       |   pick		4       |
						|   defeat	6       |   outer		5       |   pies		4       |
						|   deface	6       |   overt		5       |   pigs		4       |
						|   deepen	6       |   party		5       |   pile		4       |
						|   deduct	6       |   perky		5       |   pink		4       |
						|   deduce	6       |   petty		5       |   pins		4       |
						|   decree	6       |   pious		5       |   pipe		4       |
						|   decide	6       |   pithy		5       |   pity		4       |
						|   debate	6       |   plaid		5       |   plan		4       |
						|   dazzle	6       |   plain		5       |   play		4       |
						|   darken	6       |   plane		5       |   plot		4       |
						|   dangle	6       |   plump		5       |   poem		4       |
						|   dampen	6       |   plush		5       |   poet		4       |
						|   damage	6       |   prior		5       |   pole		4       |
						|   dabble	6       |   prize		5       |   pool		4       |
						|   cuddle	6       |   proof		5       |   poop		4       |
						|   crunch	6       |   proud		5       |   port		4       |
						|   cruise	6       |   puffy		5       |   post		4       |
						|   crouch	6       |   pushy		5       |   pots		4       |
						|   cringe	6       |   quick		5       |   pray		4       |
						|   credit	6       |   quiet		5       |   pull		4       |
						|   create	6       |   rabid		5       |   pump		4       |
						|   crease	6       |   rainy		5       |   punk		4       |
						|   cradle	6       |   rapid		5       |   push		4       |
						|   corner	6       |   raspy		5       |   quit		4       |
						|   convey	6       |   ratty		5       |   rant		4       |
						|   confer	6       |   ready		5       |   rest		4       |
						|   concur	6       |   rebel		5       |   rule		4       |
						|   comply	6       |   regal		5       |   size		4       |
						|   compel	6       |   right		5       |   soul		4       |
						|   commit	6       |   rigid		5       |   star		4       |
						|   coerce	6       |   risky		5       |   step		4       |
						|   codify	6       |   ritzy		5       |   tact		4       |
						|   cobble	6       |   roomy		5       |   tale		4       |
						|   clutch	6       |   rough		5       |   talk		4       |
						|   clinch	6       |   round		5       |   task		4       |
						|   clench	6       |   rowdy		5       |   term		4       |
						|   circle	6       |   royal		5       |   time		4       |
						|   choose	6       |   ruddy		5       |   tone		4       |
						|   charge	6       |   rural		5       |   tour		4       |
						|   change	6       |   rusty		5       |   type		4       |
						|   chance	6       |   salty		5       |   view		4       |
						|   center	6       |   sandy		5       |   wail		4       |
						|   censor	6       |   sappy		5       |   wait		4       |
						|   cement	6       |   sassy		5       |   whim		4       |
						|   carpet	6       |   satin		5       |   word		4       |
						|   caress	6       |   saucy		5       |   zeal		4       |
						|   cancel	6       |   savvy		5       |   zest		4       |
						|   cajole	6       |   scaly		5       |   abyss		5       |
						|   cackle	6       |   scant		5       |   actor		5       |
						|   bypass	6       |   scary		5       |   agent		5       |
						|   button	6       |   seedy		5       |   agony		5       |
						|   butter	6       |   seven		5       |   anger		5       |
						|   bustle	6       |   shady		5       |   ardor		5       |
						|   burrow	6       |   shaky		5       |   boxer		5       |
						|   burgle	6       |   sharp		5       |   buyer		5       |
						|   burden	6       |   sheer		5       |   chant		5       |
						|   bundle	6       |   shiny		5       |   chaos		5       |
						|   buffer	6       |   short		5       |   charm		5       |
						|   budget	6       |   showy		5       |   coder		5       |
						|   buckle	6       |   silky		5       |   color		5       |
						|   bubble	6       |   silly		5       |   craft		5       |
						|   bruise	6       |   sixth		5       |   creed		5       |
						|   bronze	6       |   sleek		5       |   dance		5       |
						|   broach	6       |   slick		5       |   donor		5       |
						|   bridge	6       |   slimy		5       |   doubt		5       |
						|   breath	6       |   small		5       |   drama		5       |
						|   breach	6       |   smart		5       |   dread		5       |
						|   branch	6       |   smoky		5       |   elder		5       |
						|   bounce	6       |   snide		5       |   enemy		5       |
						|   bottle	6       |   sober		5       |   error		5       |
						|   bother	6       |   soggy		5       |   essay		5       |
						|   borrow	6       |   solar		5       |   event		5       |
						|   border	6       |   solid		5       |   faith		5       |
						|   bloody	6       |   some,		5       |   fancy		5       |
						|   bleach	6       |   sonic		5       |   fault		5       |
						|   billow	6       |   sonly		5       |   favor		5       |
						|   better	6       |   sorry		5       |   fears		5       |
						|   betray	6       |   south		5       |   folly		5       |
						|   bestow	6       |   spare		5       |   force		5       |
						|   berate	6       |   spicy		5       |   furor		5       |
						|   bemuse	6       |   spiky		5       |   gloom		5       |
						|   bemoan	6       |   stale		5       |   glory		5       |
						|   belong	6       |   stark		5       |   grace		5       |
						|   bellow	6       |   steel		5       |   grasp		5       |
						|   behold	6       |   steep		5       |   guide		5       |
						|   behave	6       |   stern		5       |   honor		5       |
						|   become	6       |   stiff		5       |   horde		5       |
						|   beckon	6       |   still		5       |   humor		5       |
						|   battle	6       |   stock		5       |   ideas		5       |
						|   batter	6       |   stoic		5       |   joker		5       |
						|   barter	6       |   stony		5       |   juror		5       |
						|   banter	6       |   stout		5       |   lapse		5       |
						|   banish	6       |   suave		5       |   laugh		5       |
						|   baffle	6       |   sulky		5       |   light		5       |
						|   badger	6       |   sunny		5       |   looks		5       |
						|   babble	6       |   super		5       |   merit		5       |
						|   awaken	6       |   surly		5       |   minor		5       |
						|   aviate	6       |   sweet		5       |   mirth		5       |
						|   avenge	6       |   swift		5       |   miser		5       |
						|   author	6       |   taboo		5       |   music		5       |
						|   attest	6       |   tacit		5       |   needs		5       |
						|   attend	6       |   tacky		5       |   owner		5       |
						|   attain	6       |   tamed		5       |   paper		5       |
						|   attack	6       |   tangy		5       |   place		5       |
						|   attach	6       |   tardy		5       |   point		5       |
						|   assure	6       |   tasty		5       |   power		5       |
						|   assume	6       |   teeny		5       |   pride		5       |
						|   assort	6       |   tense		5       |   proof		5       |
						|   assist	6       |   tenth		5       |   quest		5       |
						|   assign	6       |   tepid		5       |   ruler		5       |
						|   assess	6       |   terse		5       |   rumor		5       |
						|   assert	6       |   testy		5       |   scope		5       |
						|   assent	6       |   their		5       |   scorn		5       |
						|   assail	6       |   these		5       |   scowl		5       |
						|   aspire	6       |   thick		5       |   sense		5       |
						|   ascend	6       |   third		5       |   sheen		5       |
						|   arrive	6       |   those		5       |   skill		5       |
						|   arrest	6       |   three		5       |   smile		5       |
						|   arouse	6       |   tidal		5       |   sneer		5       |
						|   appear	6       |   tight		5       |   space		5       |
						|   appeal	6       |   timid		5       |   stare		5       |
						|   appall	6       |   tipsy		5       |   state		5       |
						|   answer	6       |   tired		5       |   stoic		5       |
						|   anoint	6       |   tonal		5       |   story		5       |
						|   anchor	6       |   total		5       |   style		5       |
						|   amount	6       |   tough		5       |   taste		5       |
						|   ambush	6       |   toxic		5       |   terms		5       |
						|   allure	6       |   trick		5       |   times		5       |
						|   allude	6       |   trite		5       |   touch		5       |
						|   allege	6       |   upper		5       |   trait		5       |
						|   afford	6       |   upset		5       |   trick		5       |
						|   affirm	6       |   usual		5       |   truce		5       |
						|   affect	6       |   utter		5       |   truth		5       |
						|   advise	6       |   vague		5       |   tutor		5       |
						|   adsorb	6       |   valid		5       |   types		5       |
						|   admire	6       |   vapid		5       |   union		5       |
						|   adjust	6       |   venal		5       |   unity		5       |
						|   adjoin	6       |   vexed		5       |   valor		5       |
						|   adhere	6       |   viral		5       |   value		5       |
						|   acquit	6       |   vital		5       |   vapor		5       |
						|   accuse	6       |   vivid		5       |   views		5       |
						|   accrue	6       |   vocal		5       |   vigor		5       |
						|   accost	6       |   wacky		5       |   voice		5       |
						|   accord	6       |   waste		5       |   waste		5       |
						|   access	6       |   waxen		5       |   wrath		5       |
						|   accept	6       |   weary		5       |   years		5       |
						|   accent	6       |   weedy		5       |   youth		5       |
						|   absorb	6       |   weird		5       |   access		6       |
						|   abound	6       |   which		5       |   action		6       |
						|   abduct	6       |   white		5       |   acuity		6       |
						|   yield	5       |   whole		5       |   answer		6       |
						|   yearn	5       |   whose		5       |   apathy		6       |
						|   x-ray	5       |   windy		5       |   appeal		6       |
						|   write	5       |   wispy		5       |   artist		6       |
						|   wring	5       |   witty		5       |   aspect		6       |
						|   wreck	5       |   woozy		5       |   assent		6       |
						|   wound	5       |   wordy		5       |   attack		6       |
						|   worry	5       |   worse		5       |   author		6       |
						|   wince	5       |   worst		5       |   babble		6       |
						|   wield	5       |   worth		5       |   beauty		6       |
						|   widen	5       |   wrong		5       |   broker		6       |
						|   whisk	5       |   young		5       |   burden		6       |
						|   whirl	5       |   yummy		5       |   candor		6       |
						|   whine	5       |   zesty		5       |   career		6       |
						|   wheel	5       |   zippy		5       |   cavity		6       |
						|   whack	5       |   abject		6       |   chance		6       |
						|   weigh	5       |   abrupt		6       |   comedy		6       |
						|   wedge	5       |   absent		6       |   curves		6       |
						|   weave	5       |   absurd		6       |   damage		6       |
						|   waver	5       |   aching		6       |   dancer		6       |
						|   water	5       |   acidic		6       |   danger		6       |
						|   watch	5       |   active		6       |   denial		6       |
						|   waste	5       |   actual		6       |   desire		6       |
						|   waken	5       |   ad hoc		6       |   dismay		6       |
						|   waive	5       |   adored		6       |   disuse		6       |
						|   vomit	5       |   adroit		6       |   doctor		6       |
						|   voice	5       |   aerial		6       |   duties		6       |
						|   visit	5       |   afraid		6       |   echoes		6       |
						|   vault	5       |   amazed		6       |   editor		6       |
						|   value	5       |   amused		6       |   effect		6       |
						|   utter	5       |   anemic		6       |   effort		6       |
						|   usurp	5       |   animal		6       |   energy		6       |
						|   usher	5       |   annual		6       |   equity		6       |
						|   upset	5       |   ardent		6       |   fandom		6       |
						|   unzip	5       |   artful		6       |   faults		6       |
						|   untie	5       |   astute		6       |   fervor		6       |
						|   unite	5       |   atomic		6       |   figure		6       |
						|   unify	5       |   banned		6       |   flavor		6       |
						|   unarm	5       |   barren		6       |   flight		6       |
						|   twist	5       |   benign		6       |   frenzy		6       |
						|   twirl	5       |   better		6       |   genius		6       |
						|   tutor	5       |   biased		6       |   glance		6       |
						|   trust	5       |   bigger		6       |   gossip		6       |
						|   truss	5       |   binary		6       |   growth		6       |
						|   trick	5       |   biting		6       |   habits		6       |
						|   treat	5       |   bitter		6       |   health		6       |
						|   tread	5       |   bleary		6       |   height		6       |
						|   tramp	5       |   blonde		6       |   helper		6       |
						|   train	5       |   bloody		6       |   horror		6       |
						|   trail	5       |   blurry		6       |   ideals		6       |
						|   trade	5       |   boring		6       |   jailor		6       |
						|   track	5       |   bouncy		6       |   jargon		6       |
						|   trace	5       |   boyish		6       |   junior		6       |
						|   tower	5       |   brainy		6       |   jurist		6       |
						|   touch	5       |   brassy		6       |   lament		6       |
						|   total	5       |   brawny		6       |   legacy		6       |
						|   toast	5       |   brazen		6       |   levity		6       |
						|   title	5       |   breezy		6       |   loafer		6       |
						|   tinge	5       |   bright		6       |   lunacy		6       |
						|   thump	5       |   broken		6       |   luster		6       |
						|   thumb	5       |   bronze		6       |   luxury		6       |
						|   throw	5       |   brutal		6       |   malice		6       |
						|   throb	5       |   bubbly		6       |   mammal		6       |
						|   think	5       |   budget		6       |   manner		6       |
						|   thank	5       |   candid		6       |   memory		6       |
						|   tense	5       |   caring		6       |   mentor		6       |
						|   tempt	5       |   casual		6       |   method		6       |
						|   tease	5       |   chance		6       |   misery		6       |
						|   teach	5       |   chatty		6       |   moment		6       |
						|   taunt	5       |   cheeky		6       |   morals		6       |
						|   taste	5       |   cheery		6       |   motion		6       |
						|   taper	5       |   chilly		6       |   motive		6       |
						|   taint	5       |   choice		6       |   murmur		6       |
						|   table	5       |   choppy		6       |   mutant		6       |
						|   swoop	5       |   chubby		6       |   nation		6       |
						|   swirl	5       |   chunky		6       |   nature		6       |
						|   swing	5       |   clammy		6       |   notion		6       |
						|   swell	5       |   classy		6       |   nuance		6       |
						|   sweep	5       |   clever		6       |   oddity		6       |
						|   sweat	5       |   clingy		6       |   option		6       |
						|   swear	5       |   closed		6       |   orator		6       |
						|   swarm	5       |   cloudy		6       |   outcry		6       |
						|   swamp	5       |   clumsy		6       |   papacy		6       |
						|   surge	5       |   coarse		6       |   parent		6       |
						|   style	5       |   common		6       |   parity		6       |
						|   stunt	5       |   cooing		6       |   parody		6       |
						|   stump	5       |   cooked		6       |   pastor		6       |
						|   stuff	5       |   corner		6       |   pathos		6       |
						|   study	5       |   cosmic		6       |   pencil		6       |
						|   strut	5       |   costly		6       |   period		6       |
						|   strip	5       |   covert		6       |   piracy		6       |
						|   stray	5       |   crabby		6       |   player		6       |
						|   strap	5       |   crafty		6       |   plight		6       |
						|   storm	5       |   craggy		6       |   potion		6       |
						|   store	5       |   cranky		6       |   praise		6       |
						|   stoop	5       |   craven		6       |   purist		6       |
						|   stone	5       |   creaky		6       |   purity		6       |
						|   stomp	5       |   creamy		6       |   rarity		6       |
						|   stock	5       |   creepy		6       |   ration		6       |
						|   stink	5       |   crispy		6       |   reader		6       |
						|   sting	5       |   crusty		6       |   reason		6       |
						|   stick	5       |   crying		6       |   rebuke		6       |
						|   steer	5       |   cuddly		6       |   recess		6       |
						|   steam	5       |   cursed		6       |   regard		6       |
                        |   steal	5       |   curved		6       |   regent		6       |
                        |   state	5       |   dainty		6       |   regret		6       |
                        |   stash	5       |   dapper		6       |   remark		6       |
                        |   start	5       |   daring		6       |   renter		6       |
                        |   stare	5       |   deadly		6       |   result		6       |
                        |   stand	5       |   decent		6       |   reward		6       |
                        |   stamp	5       |   demure		6       |   riches		6       |
                        |   stall	5       |   devout		6       |   rights		6       |
                        |   stalk	5       |   direct		6       |   runner		6       |
                        |   stake	5       |   dismal		6       |   sailor		6       |
                        |   stain	5       |   divine		6       |   sanity		6       |
                        |   stage	5       |   doable		6       |   satire		6       |
                        |   staff	5       |   dogged		6       |   savant		6       |
                        |   stack	5       |   dorsal		6       |   savior		6       |
                        |   squat	5       |   doting		6       |   saying		6       |
                        |   spurt	5       |   double		6       |   secret		6       |
                        |   spurn	5       |   dovish		6       |   seller		6       |
                        |   spray	5       |   dozing		6       |   senior		6       |
                        |   sport	5       |   dreamy		6       |   series		6       |
                        |   spoon	5       |   dreary		6       |   server		6       |
                        |   spoil	5       |   dressy		6       |   singer		6       |
                        |   split	5       |   driven		6       |   sorrow		6       |
                        |   spite	5       |   droopy		6       |   source		6       |
                        |   spill	5       |   drowsy		6       |   speech		6       |
                        |   spike	5       |   dulcet		6       |   spirit		6       |
                        |   spice	5       |   earthy		6       |   spring		6       |
                        |   spend	5       |   eighth		6       |   stance		6       |
                        |   spell	5       |   either		6       |   stress		6       |
                        |   speed	5       |   elated		6       |   suitor		6       |
                        |   spear	5       |   elfish		6       |   supply		6       |
                        |   speak	5       |   enough		6       |   survey		6       |
                        |   spawn	5       |   entire		6       |   symbol		6       |
                        |   spark	5       |   errant		6       |   tailor		6       |
                        |   spare	5       |   ethnic		6       |   talent		6       |
                        |   space	5       |   exotic		6       |   temper		6       |
                        |   sound	5       |   expert		6       |   tenant		6       |
                        |   sooth	5       |   fabled		6       |   tenure		6       |
                        |   solve	5       |   facial		6       |   terror		6       |
                        |   snuff	5       |   fading		6       |   thanks		6       |
                        |   snort	5       |   failed		6       |   theory		6       |
                        |   snore	5       |   famous		6       |   thrill		6       |
                        |   snoop	5       |   faulty		6       |   throng		6       |
                        |   sniff	5       |   feared		6       |   trance		6       |
                        |   sneer	5       |   feeble		6       |   typist		6       |
                        |   sneak	5       |   female		6       |   values		6       |
                        |   snarl	5       |   fervid		6       |   vanity		6       |
                        |   snare	5       |   feudal		6       |   vendor		6       |
                        |   snake	5       |   fierce		6       |   victor		6       |
                        |   smoke	5       |   filthy		6       |   virtue		6       |
                        |   smirk	5       |   finite		6       |   vision		6       |
                        |   smile	5       |   fiscal		6       |   warmth		6       |
                        |   smell	5       |   fitted		6       |   wisdom		6       |
                        |   smear	5       |   flabby		6       |   wonder		6       |
                        |   smash	5       |   flashy		6       |   worker		6       |
                        |   smack	5       |   flawed		6       |   writer		6       |
                        |   slump	5       |   flimsy		6       | 				       |
                        |   slope	5       |   floppy		6       | 				       |
                        |   slink	5       |   floral		6       | 				       |
                        |   sling	5       |   fluent		6       | 				       |
                        |   slide	5       |   fluffy		6       | 				       |
                        |   slice	5       |   flying		6       | 				       |
                        |   sleep	5       |   folded		6       | 				       |
                        |   slate	5       |   forged		6       | 				       |
                        |   slash	5       |   forked		6       | 				       |
                        |   slant	5       |   formal		6       | 				       |
                        |   skirt	5       |   former		6       | 				       |
                        |   singe	5       |   fourth		6       | 				       |
                        |   sight	5       |   frayed		6       | 				       |
                        |   sidle	5       |   freaky		6       | 				       |
                        |   shunt	5       |   frigid		6       | 				       |
                        |   shrug	5       |   frilly		6       | 				       |
                        |   shred	5       |   frisky		6       | 				       |
                        |   shove	5       |   frosty		6       | 				       |
                        |   shout	5       |   frothy		6       | 				       |
                        |   shoot	5       |   frozen		6       | 				       |
                        |   shock	5       |   frugal		6       | 				       |
                        |   shine	5       |   fruity		6       | 				       |
                        |   shift	5       |   frumpy		6       | 				       |
                        |   shell	5       |   fuming		6       | 				       |
                        |   shear	5       |   futile		6       | 				       |
                        |   shave	5       |   future		6       | 				       |
                        |   share	5       |   gangly		6       | 				       |
                        |   shape	5       |   gaping		6       | 				       |
                        |   shame	5       |   garish		6       | 				       |
                        |   shake	5       |   genial		6       | 				       |
                        |   shade	5       |   gentle		6       | 				       |
                        |   sever	5       |   gifted		6       | 				       |
                        |   serve	5       |   gilded		6       | 				       |
                        |   sense	5       |   giving		6       | 				       |
                        |   seize	5       |   glassy		6       | 				       |
                        |   scrub	5       |   global		6       | 				       |
                        |   screw	5       |   gloomy		6       | 				       |
                        |   scrap	5       |   glossy		6       | 				       |
                        |   scowl	5       |   gnarly		6       | 				       |
                        |   scour	5       |   golden		6       | 				       |
                        |   scorn	5       |   grainy		6       | 				       |
                        |   score	5       |   gratis		6       | 				       |
                        |   scoop	5       |   greasy		6       | 				       |
                        |   scold	5       |   greedy		6       | 				       |
                        |   scoff	5       |   gritty		6       | 				       |
                        |   scent	5       |   groggy		6       | 				       |
                        |   scare	5       |   groovy		6       | 				       |
                        |   scale	5       |   grubby		6       | 				       |
                        |   scald	5       |   grumpy		6       | 				       |
                        |   savor	5       |   guilty		6       | 				       |
                        |   route	5       |   hearty		6       | 				       |
                        |   rouse	5       |   heated		6       | 				       |
                        |   round	5       |   hectic		6       | 				       |
                        |   roast	5       |   heroic		6       | 				       |
                        |   rivet	5       |   hoarse		6       | 				       |
                        |   rival	5       |   hollow		6       | 				       |
                        |   rinse	5       |   homely		6       | 				       |
                        |   right	5       |   honest		6       | 				       |
                        |   rhyme	5       |   horned		6       | 				       |
                        |   revel	5       |   horrid		6       | 				       |
                        |   reuse	5       |   humble		6       | 				       |
                        |   reset	5       |   hungry		6       | 				       |
                        |   reply	5       |   hushed		6       | 				       |
                        |   repel	5       |   impish		6       | 				       |
                        |   repay	5       |   impure		6       | 				       |
                        |   renew	5       |   innate		6       | 				       |
                        |   remit	5       |   insane		6       | 				       |
                        |   relay	5       |   inside		6       | 				       |
                        |   relax	5       |   inward		6       | 				       |
                        |   reign	5       |   ironic		6       | 				       |
                        |   refer	5       |   jagged		6       | 				       |
                        |   rebel	5       |   jovial		6       | 				       |
                        |   react	5       |   joyful		6       | 				       |
                        |   reach	5       |   joyous		6       | 				       |
                        |   range	5       |   junior		6       | 				       |
                        |   rally	5       |   kindly		6       | 				       |
                        |   raise	5       |   kingly		6       | 				       |
                        |   quote	5       |   knobby		6       | 				       |
                        |   queue	5       |   knotty		6       | 				       |
                        |   query	5       |   larger		6       | 				       |
                        |   quell	5       |   latent		6       | 				       |
                        |   quash	5       |   latest		6       | 				       |
                        |   purse	5       |   latter		6       | 				       |
                        |   purge	5       |   lavish		6       | 				       |
                        |   punch	5       |   lawful		6       | 				       |
                        |   prune	5       |   leased		6       | 				       |
                        |   prowl	5       |   lesser		6       | 				       |
                        |   prove	5       |   lethal		6       | 				       |
                        |   probe	5       |   liable		6       | 				       |
                        |   prize	5       |   likely		6       | 				       |
                        |   print	5       |   limber		6       | 				       |
                        |   primp	5       |   linear		6       | 				       |
                        |   prime	5       |   liquid		6       | 				       |
                        |   pride	5       |   little		6       | 				       |
                        |   prick	5       |   lively		6       | 				       |
                        |   price	5       |   living		6       | 				       |
                        |   press	5       |   locked		6       | 				       |
                        |   preen	5       |   lonely		6       | 				       |
                        |   power	5       |   longer		6       | 				       |
                        |   pound	5       |   lordly		6       | 				       |
                        |   poise	5       |   lovely		6       | 				       |
                        |   point	5       |   loving		6       | 				       |
                        |   poach	5       |   lucent		6       | 				       |
                        |   plump	5       |   maiden		6       | 				       |
                        |   pluck	5       |   manual		6       | 				       |
                        |   plead	5       |   marked		6       | 				       |
                        |   plant	5       |   masked		6       | 				       |
                        |   place	5       |   master		6       | 				       |
                        |   pitch	5       |   matted		6       | 				       |
                        |   pinch	5       |   mature		6       | 				       |
                        |   pilot	5       |   meager		6       | 				       |
                        |   phone	5       |   measly		6       | 				       |
                        |   phase	5       |   medium		6       | 				       |
                        |   perch	5       |   mellow		6       | 				       |
                        |   pedal	5       |   melted		6       | 				       |
                        |   pause	5       |   menial		6       | 				       |
                        |   patch	5       |   mental		6       | 				       |
                        |   paste	5       |   middle		6       | 				       |
                        |   panic	5       |   mighty		6       | 				       |
                        |   panel	5       |   minute		6       | 				       |
                        |   paint	5       |   mobile		6       | 				       |
                        |   order	5       |   modern		6       | 				       |
                        |   offer	5       |   modest		6       | 				       |
                        |   occur	5       |   morbid		6       | 				       |
                        |   nurse	5       |   morose		6       | 				       |
                        |   nudge	5       |   mortal		6       | 				       |
                        |   mouth	5       |   mother		6       | 				       |
                        |   mourn	5       |   moving		6       | 				       |
                        |   mount	5       |   mutual		6       | 				       |
                        |   model	5       |   myopic		6       | 				       |
                        |   mince	5       |   mystic		6       | 				       |
                        |   mimic	5       |   narrow		6       | 				       |
                        |   merit	5       |   native		6       | 				       |
                        |   merge	5       |   nearby		6       | 				       |
                        |   match	5       |   newest		6       | 				       |
                        |   marry	5       |   nimble		6       | 				       |
                        |   march	5       |   normal		6       | 				       |
                        |   lurch	5       |   oafish		6       | 				       |
                        |   lunge	5       |   oblong		6       | 				       |
                        |   lunch	5       |   obtuse		6       | 				       |
                        |   lower	5       |   odious		6       | 				       |
                        |   lodge	5       |   oldest		6       | 				       |
                        |   lobby	5       |   opaque		6       | 				       |
                        |   loath	5       |   opened		6       | 				       |
                        |   limit	5       |   orange		6       | 				       |
                        |   liken	5       |   ornate		6       | 				       |
                        |   light	5       |   ornery		6       | 				       |
                        |   level	5       |   padded		6       | 				       |
                        |   leave	5       |   pallid		6       | 				       |
                        |   lease	5       |   paltry		6       | 				       |
                        |   learn	5       |   patchy		6       | 				       |
                        |   leach	5       |   peeved		6       | 				       |
                        |   layer	5       |   period		6       | 				       |
                        |   laugh	5       |   petite		6       | 				       |
                        |   latch	5       |   phobic		6       | 				       |
                        |   lapse	5       |   placid		6       | 				       |
                        |   labor	5       |   plucky		6       | 				       |
                        |   label	5       |   poetic		6       | 				       |
                        |   knock	5       |   poised		6       | 				       |
                        |   kneel	5       |   polite		6       | 				       |
                        |   judge	5       |   poorer		6       | 				       |
                        |   issue	5       |   porous		6       | 				       |
                        |   inlay	5       |   portly		6       | 				       |
                        |   infer	5       |   potent		6       | 				       |
                        |   index	5       |   pretty		6       | 				       |
                        |   incur	5       |   pricey		6       | 				       |
                        |   imply	5       |   prissy		6       | 				       |
                        |   impel	5       |   prized		6       | 				       |
                        |   hurry	5       |   prompt		6       | 				       |
                        |   hunch	5       |   proper		6       | 				       |
                        |   hover	5       |   prying		6       | 				       |
                        |   house	5       |   public		6       | 				       |
                        |   hound	5       |   pumped		6       | 				       |
                        |   honor	5       |   purple		6       | 				       |
                        |   hoist	5       |   putrid		6       | 				       |
                        |   hitch	5       |   quacky		6       | 				       |
                        |   hinge	5       |   quaint		6       | 				       |
